User ID,Instagram visit score,Spending_rank(0 to 100),Cluster,PCA1,PCA2
0,63,24.05070845,0,-0.47089122000720063,0.4536776826428677
1,61,25.22329005,0,-0.4952710238537143,0.3716241995755566
2,104,18.52824526,0,0.484238198557805,1.6804306458112708
3,82,86.89023241,1,1.5800546710728007,-0.5861519827557946
4,14,31.49239692,0,-1.591688457468359,-1.0331406092846824
5,74,81.19531414,1,1.2271352047672897,-0.6589656641055831
6,83,88.11972945,1,1.6368995315154409,-0.5897801997415223
7,71,87.4683564,1,1.3015807087082258,-0.8930610984172563
8,42,80.829564,2,0.366674159645966,-1.501437209605457
9,79,25.96662164,0,0.001959229648639092,0.8322935282976268
10,94,24.46567368,0,0.3641718308006132,1.2683305789993389
11,30,30.97504081,0,-1.1786784458110406,-0.5946843256314019
12,62,23.93688398,0,-0.5002987823046104,0.42986860148336503
13,19,14.21656395,0,-1.8835046365415997,-0.47524121292688004
14,36,23.46131302,0,-1.2038106774292219,-0.2502522332717463
15,17,22.40513668,0,-1.735342920954592,-0.7298362154277123
16,98,14.59998927,0,0.22798220858983587,1.6173867750377653
17,87,12.50427488,0,-0.11624841284920216,1.3762343184507666
18,55,11.76071954,0,-0.9860006731459772,0.5430539881263441
19,65,8.782403628,0,-0.7931620115183027,0.8823817610677938
20,90,70.58210415,1,1.3918618397559133,0.0277739962163913
21,69,106.9393719,-1,1.7272071163661238,-1.4251207929889782
22,17,24.41608933,0,-1.6858883507718807,-0.7792907856104236
23,82,14.85335365,0,-0.19152004819266732,1.1854227365096697
24,68,83.08778344,1,1.1140260300008562,-0.8651563500806242
25,76,19.85507906,0,-0.2281645063443065,0.9027673339198347
26,80,68.72519179,1,1.080112304753346,-0.19264290335016565
27,80,16.63787901,0,-0.20085055904524002,1.0883199604484177
28,32,57.42090343,2,-0.47508907031434755,-1.191840414214269
29,46,53.70152626,2,-0.1940417507781359,-0.7278547253537067
30,97,14.52232178,0,0.19946384072721532,1.5926884994434733
31,67,83.43530752,1,1.0959642317345721,-0.9003111952712526
32,42,59.2847078,2,-0.16317004281167383,-0.9715930071478182
33,73,84.30603906,1,1.2770277215221513,-0.7620748243173571
34,85,25.94031124,0,0.1609621186664456,0.9925905000212947
35,48,26.3334073,0,-0.8138785279853636,-0.0015846612326555207
36,79,17.69698635,0,-0.2014126691550114,1.0356654271012768
37,39,59.51894928,2,-0.23723439910733907,-1.0571785812228902
38,20,22.02046139,0,-1.6649781243748147,-0.6405510816367527
39,89,87.33332063,1,1.7772096180658907,-0.41079042555049766
40,84,77.21589021,1,1.3953540093651844,-0.295018034134354
41,90,18.45624481,0,0.10995101551836682,1.309684820453935
42,95,9.525985718,0,0.023374263173823046,1.6623447900830404
43,77,83.88780572,1,1.3731755598622466,-0.6453560888298028
44,87,89.32350728,1,1.7729368546944295,-0.5129509490928613
45,84,24.48394908,0,0.09853805326388287,1.0017979219669448
46,87,86.80134737,1,1.7109103647712998,-0.4509244591697315
47,91,31.77727934,0,0.46415831729750123,1.0086941621317138
48,20,30.07324971,0,-1.466939058095477,-0.8385901479160898
49,29,22.27105893,0,-1.4193403817573698,-0.4072390331419857
50,46,67.57232403,2,0.147077341114288,-1.06897381724613
51,86,91.57086075,1,1.801596815840498,-0.5948275536958421
52,58,17.38965215,0,-0.7677455749512618,0.4844488203023663
53,39,78.10751173,2,0.2199068300902955,-1.514319810420524
54,44,65.02712226,2,0.03126754830419374,-1.0595973113498607
55,37,68.66589307,2,-0.06550383974479573,-1.335342427499258
56,61,22.30799431,0,-0.5669657491259329,0.4433189248477749
57,91,12.45225859,0,-0.011094342163790046,1.483946821593004
58,72,79.72874053,1,1.1378516914495391,-0.6761154377016576
59,81,97.36505105,1,1.811049457792997,-0.8703634129329029
60,19,15.89441948,0,-1.8422417932494737,-0.516504056219006
61,81,92.54237622,1,1.6924473062959782,-0.7517612614358842
62,83,26.91451103,0,0.13170358873674026,0.9154157430371753
63,75,23.81224389,0,-0.1574558247063271,0.7788420088249431
64,84,86.09920913,1,1.6138179891036182,-0.5134820138727872
65,56,27.02080663,0,-0.5841070119110463,0.19437697034832654
66,52,9.886817607,0,-1.1119097739578445,0.5093131585674743
67,78,81.55022856,1,1.3422967628777267,-0.5612606483883706
68,67,84.62768822,1,1.1252879828495777,-0.929634946386258
69,97,12.35561638,0,0.14617890422234037,1.6459734359483482
70,98,13.16862217,0,0.19278115862768266,1.6525878249999184
71,28,38.01909248,0,-1.0586634879745753,-0.8211325703816915
72,106,18.35170261,0,0.5331131978319631,1.7379889334509375
73,71,104.7360573,1,1.7262385076141922,-1.317718897323222
74,20,22.06784969,0,-1.6638127224901957,-0.6417164835213716
75,94,26.94953576,0,0.42525647720416526,1.207245932595787
76,37,61.96779185,2,-0.23022761724169283,-1.1706186500023612
77,25,13.24753967,0,-1.7476855404095564,-0.29176044831744913
78,75,93.97846339,1,1.5681145047185305,-0.9467283205999111
79,82,13.83837631,0,-0.2164809880213063,1.2103836763383087
80,61,28.45837723,0,-0.4157117930630239,0.2920649687848664
81,82,89.23215347,1,1.63764861761557,-0.6437459292985639
82,25,38.3940287,0,-1.1292677936849282,-0.910178195042076
83,76,79.49618626,1,1.2385658623677664,-0.5639630347922353
84,33,65.67214893,2,-0.24556110267849887,-1.3681517383932047
85,93,24.3271692,0,0.3341573226923933,1.2451284436506465
86,86,18.23979234,0,-0.0018054021359237484,1.208574664280576
87,95,35.08898197,0,0.6520350087288838,1.033684044527981
88,84,15.76761568,0,-0.11581931704327596,1.2161552922741032
89,55,63.23372514,2,0.2798547749971218,-0.7228014600167522
90,69,78.56101791,1,1.0293093816440826,-0.7272230582669382
91,95,23.24628216,0,0.36079213490665374,1.3249269183502104
92,67,25.08785074,0,-0.33895189933854664,0.5346049358018634
93,40,58.16089026,2,-0.2440242904680148,-0.9971720464053021
94,98,23.00398013,0,0.4346582612560863,1.4107107223715152
95,95,20.54964074,0,0.29447468960877626,1.3912443636480878
